,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
56,K00166,5158.6,100,4.7,1,-0.215,0.06,0.12,-99,0,11.716,0.02,291.021889924,37.7698734264,kmag,allsky,cks1
57,K00167,6230.9,100,4.7,1,0.055,0.06,0.12,-99,0,12.065,0.022,294.463916471,49.7650472539,kmag,allsky,cks1
58,K00168,5823.4,100,4.7,1,-0.09,0.06,0.12,-99,0,11.998,0.019,294.218913129,49.4792535538,kmag,allsky,cks1
59,K00171,6219.8,100,4.7,1,0.071,0.06,0.12,-99,0,12.383,0.022,294.742060503,43.5367842417,kmag,allsky,cks1
60,K00172,5629.6,100,4.7,1,-0.219,0.06,0.12,-99,0,12.234,0.026,293.260901307,44.8688656442,kmag,allsky,cks1
61,K00173,5675.6,100,4.7,1,0.005,0.06,0.12,-99,0,12.383,0.025,291.90698616,49.2620759992,kmag,allsky,cks1
62,K00174,4733.5,100,4.7,1,-0.273,0.06,0.12,-99,0,11.536,0.018,296.822932642,48.1077628186,kmag,allsky,cks1
63,K00176,6318.9,100,4.7,1,-0.215,0.06,0.12,-99,0,12.222,0.024,291.646776447,41.8846843433,kmag,allsky,cks1
64,K00179,6217.5,100,4.7,1,0.248,0.06,0.12,-99,0,12.502,0.023,297.045403736,46.3286653081,kmag,allsky,cks1
65,K00180,5651.5,100,4.7,1,0.064,0.06,0.12,-99,0,11.482,0.017,284.394284435,46.2491109102,kmag,allsky,cks1
66,K00186,5801.7,100,4.7,1,0.194,0.06,0.12,-99,0,13.433,0.041,294.996341537,50.4700458344,kmag,allsky,cks1
67,K00191,5456.5,100,4.7,1,0.107,0.06,0.12,-99,0,13.25,0.037,295.287231756,41.2220033346,kmag,allsky,cks1
68,K00193,5627.8,100,4.7,1,0.03,0.06,0.12,-99,0,13.483,0.05,292.876131819,48.1953545753,kmag,allsky,cks1
69,K00195,5535.3,100,4.7,1,-0.169,0.06,0.12,-99,0,13.212,0.033,289.434666841,49.473454966,kmag,allsky,cks1
70,K00197,4937.7,100,4.7,1,0.025,0.06,0.12,-99,0,11.959,0.02,290.833241188,38.1841851033,kmag,allsky,cks1
71,K00201,5521.9,100,4.7,1,0.369,0.06,0.12,-99,0,12.354,0.019,287.130578167,42.3501533459,kmag,allsky,cks1
72,K00203,5722.4,100,4.7,1,0.333,0.06,0.12,-99,0,12.585,0.023,298.395243661,47.8149864675,kmag,allsky,cks1
73,K00209,6085.0,100,4.7,1,0.028,0.06,0.12,-99,0,13.011,0.031,288.79306506,48.0401760022,kmag,allsky,cks1
74,K00211,5830.0,100,4.7,1,-0.048,0.06,0.12,-99,0,13.586,0.04,287.970286448,47.9720921198,kmag,allsky,cks1
75,K00214,5481.7,100,4.7,1,0.419,0.06,0.12,-99,0,12.47,0.022,298.624979727,48.5774499666,kmag,allsky,cks1
76,K00232,5916.8,100,4.7,1,-0.083,0.06,0.12,-99,0,12.826,0.028,291.111864737,39.9490247898,kmag,allsky,cks1
77,K00237,5747.9,100,4.7,1,0.243,0.06,0.12,-99,0,12.588,0.022,295.951347206,43.8519883997,kmag,allsky,cks1
78,K00238,6153.8,100,4.7,1,-0.081,0.06,0.12,-99,0,12.655,0.025,296.998585314,42.7819633017,kmag,allsky,cks1
79,K00241,4959.8,100,4.7,1,-0.462,0.06,0.12,-99,0,12.233,0.026,286.752732187,49.0648788,kmag,allsky,cks1
80,K00244,6285.3,100,4.7,1,-0.045,0.06,0.12,-99,0,9.493,0.017,286.638390514,39.4879037745,kmag,allsky,cks1
81,K00245,5347.7,100,4.7,1,-0.248,0.06,0.12,-99,0,7.942,0.013,284.059250288,44.5183733309,kmag,allsky,cks1
82,K00246,5789.0,100,4.7,1,0.136,0.06,0.12,-99,0,8.588,0.022,291.032310211,49.0402129271,kmag,allsky,cks1
83,K00257,6162.6,100,4.7,1,0.097,0.06,0.12,-99,0,9.617,0.017,284.635188529,40.719829595,kmag,allsky,cks1
84,K00260,6270.1,100,4.7,1,-0.164,0.06,0.12,-99,0,9.344,0.011,289.347363399,44.2084444714,kmag,allsky,cks1
85,K00261,5750.8,100,4.7,1,0.1,0.06,0.12,-99,0,8.868,0.02,297.069826342,40.5252038781,kmag,allsky,cks1
86,K00262,6162.3,100,4.7,1,-0.089,0.06,0.12,-99,0,9.197,0.019,288.100931218,50.0336844073,kmag,allsky,cks1
87,K00265,6030.2,100,4.7,1,0.141,0.06,0.12,-99,0,10.665,0.017,297.01880743,50.4090459938,kmag,allsky,cks1
88,K00266,6149.5,100,4.7,1,-0.062,0.06,0.12,-99,0,10.379,0.012,295.404254576,42.9812789114,kmag,allsky,cks1
89,K00268,6388.5,100,4.7,1,-0.016,0.06,0.12,-99,0,9.604,0.02,285.728907397,38.50690026,kmag,allsky,cks1
90,K00269,6302.5,100,4.7,1,-0.071,0.06,0.12,-99,0,9.754,0.011,287.345673699,43.3783893659,kmag,allsky,cks1
91,K00271,6124.9,100,4.7,1,0.24,0.06,0.12,-99,0,10.234,0.019,285.189943852,46.0280595579,kmag,allsky,cks1
92,K00273,5677.6,100,4.7,1,0.28,0.06,0.12,-99,0,9.968,0.018,287.47864743,38.2290751403,kmag,allsky,cks1
93,K00274,6081.3,100,4.7,1,-0.032,0.06,0.12,-99,0,10.109,0.011,282.492262187,43.9802442231,kmag,allsky,cks1
94,K00275,5808.5,100,4.7,1,0.256,0.06,0.12,-99,0,10.252,0.019,285.311184467,47.8484774747,kmag,allsky,cks1
95,K00276,5951.6,100,4.7,1,-0.024,0.06,0.12,-99,0,10.483,0.025,289.664394016,48.7061649663,kmag,allsky,cks1
96,K00277,5979.2,100,4.7,1,-0.179,0.06,0.12,-99,0,10.788,0.022,291.250185918,49.231807268,kmag,allsky,cks1
97,K00279,6298.1,100,4.7,1,0.17,0.06,0.12,-99,0,10.429,0.017,295.486582068,51.0135237175,kmag,allsky,cks1
98,K00280,6002.3,100,4.7,1,-0.269,0.06,0.12,-99,0,9.785,0.017,286.689598558,39.2120801664,kmag,allsky,cks1
99,K00281,5699.5,100,4.7,1,-0.357,0.06,0.12,-99,0,10.446,0.02,287.655019601,39.244171643,kmag,allsky,cks1
100,K00282,5886.6,100,4.7,1,-0.163,0.06,0.12,-99,0,10.49,0.02,288.450590523,40.2452005595,kmag,allsky,cks1
101,K00283,5787.0,100,4.7,1,0.19,0.06,0.12,-99,0,10.079,0.017,288.530892381,40.9423729539,kmag,allsky,cks1
102,K00285,5945.8,100,4.7,1,0.19,0.06,0.12,-99,0,10.403,0.018,289.086060661,41.5630224395,kmag,allsky,cks1
103,K00288,6221.3,100,4.7,1,0.216,0.06,0.12,-99,0,9.705,0.014,293.716465509,46.2266877651,kmag,allsky,cks1
104,K00289,5836.9,100,4.7,1,-0.352,0.06,0.12,-99,0,11.187,0.016,282.945538406,47.5749180917,kmag,allsky,cks1
105,K00291,5711.9,100,4.7,1,0.286,0.06,0.12,-99,0,11.32,0.016,297.277890558,48.3203541554,kmag,allsky,cks1
106,K00292,5772.9,100,4.7,1,-0.155,0.06,0.12,-99,0,11.345,0.026,287.326529163,48.6733442559,kmag,allsky,cks1
107,K00294,6050.9,100,4.7,1,0.042,0.06,0.12,-99,0,11.315,0.022,298.268921685,48.9167390835,kmag,allsky,cks1
108,K00295,5917.6,100,4.7,1,-0.167,0.06,0.12,-99,0,10.951,0.019,284.739115573,49.5984447863,kmag,allsky,cks1
109,K00296,5747.5,100,4.7,1,-0.112,0.06,0.12,-99,0,11.469,0.023,285.041623482,50.0753912518,kmag,allsky,cks1
110,K00297,6155.0,100,4.7,1,0.107,0.06,0.12,-99,0,10.875,0.019,286.247173947,50.2423694195,kmag,allsky,cks1
111,K00299,5566.9,100,4.7,1,0.199,0.06,0.12,-99,0,11.253,0.017,285.661693348,37.9645672009,kmag,allsky,cks1
112,K00301,6014.4,100,4.7,1,-0.068,0.06,0.12,-99,0,11.456,0.022,290.495093858,38.7954956479,kmag,allsky,cks1
113,K00303,5562.6,100,4.7,1,-0.16,0.06,0.12,-99,0,10.631,0.018,293.675513811,41.2952061171,kmag,allsky,cks1
114,K00304,5801.7,100,4.7,1,-0.14,0.06,0.12,-99,0,11.109,0.019,287.090019017,41.3737575612,kmag,allsky,cks1
115,K00305,4852.3,100,4.7,1,0.233,0.06,0.12,-99,0,10.757,0.018,297.353999369,41.3000452493,kmag,allsky,cks1
116,K00306,5347.3,100,4.7,1,0.176,0.06,0.12,-99,0,10.761,0.021,299.319670812,41.3847446864,kmag,allsky,cks1
117,K00308,6236.6,100,4.7,1,0.018,0.06,0.12,-99,0,11.041,0.018,293.92973367,41.6029048248,kmag,allsky,cks1
118,K00313,5237.0,100,4.7,1,0.046,0.06,0.12,-99,0,11.165,0.011,282.135587506,43.039195109,kmag,allsky,cks1
119,K00315,4816.2,100,4.7,1,-0.216,0.06,0.12,-99,0,10.813,0.016,297.271720668,43.3330644006,kmag,allsky,cks1
120,K00316,5630.5,100,4.7,1,0.349,0.06,0.12,-99,0,11.167,0.015,282.391945061,43.8894166657,kmag,allsky,cks1
121,K00317,6563.3,100,4.7,1,0.062,0.06,0.12,-99,0,11.67,0.023,298.816380067,43.9980202913,kmag,allsky,cks1
122,K00318,6338.0,100,4.7,1,0.256,0.06,0.12,-99,0,11.068,0.011,288.153973046,44.0688154371,kmag,allsky,cks1
123,K00321,5656.5,100,4.7,1,0.28,0.06,0.12,-99,0,10.97,0.017,291.848176361,44.968280717,kmag,allsky,cks1
124,K00323,5528.7,100,4.7,1,0.105,0.06,0.12,-99,0,10.827,0.017,284.061122441,45.5068126619,kmag,allsky,cks1
125,K00327,6023.6,100,4.7,1,-0.028,0.06,0.12,-99,0,11.709,0.015,287.369405591,46.7681472813,kmag,allsky,cks1
126,K00328,5765.6,100,4.7,1,-0.085,0.06,0.12,-99,0,11.224,0.012,293.576333969,46.7754987634,kmag,allsky,cks1
127,K00330,5838.1,100,4.7,1,0.012,0.06,0.12,-99,0,12.384,0.024,296.859178732,49.1620125247,kmag,allsky,cks1
