,id_starname,gdir_srad,gdir_srad_err1,gdir_srad_err2,gdir_avs,gdir_avs_err1,gdir_avs_err2,giso_smass,giso_smass_err2,giso_smass_err1,giso_srad,giso_srad_err1,giso_srad_err2,giso_srho,giso_srho_err1,giso_srho_err2,giso_sage,giso_sage_err1,giso_sage_err2,giso2_sparallax,giso2_sparallax_err1,giso2_sparallax_err2
302,CK04419,0.565695963096,0.0172215875339,-0.0171912017546,0.0511039644834,0.000263162638161,-0.000261070838103,0.55232668628,-0.00874885952186,0.00994618765654,0.535611754125,0.00523402906602,-0.00499995335933,3.58779143205,0.103837370561,-0.0940858498156,7.78052324744,4.1218264626,-5.04197203291,4.58176804484,0.387075951674,-0.375437238239
303,CK04444,0.583144023604,0.0185364257411,-0.0185334155561,0.0749451758855,0.000639240139507,-0.000628128904964,0.56496086404,-0.00952642188568,0.0100696201026,0.549020773506,0.0063428742615,-0.00554346145857,3.39962384089,0.105496528121,-0.0976521687333,7.73180623189,4.29066882064,-4.67136593857,3.45481332447,0.277095612793,-0.27397818665
304,CK04447,0.704707557338,0.0355677370885,-0.0334784163808,0.0900925083664,0.000483248134372,-0.000475667477142,0.734843839491,-0.0239417108632,0.0232664389545,0.706524661744,0.00754580491895,-0.00765318661838,2.07853026242,0.0920888235441,-0.0835762531407,6.57782939276,4.72052329787,-4.27221516661,2.18964754623,0.117530640339,-0.144594505238
305,CK04464,0.636512696113,0.0234432070494,-0.02244781645,0.0676053707721,0.000872330101902,-0.00085674459157,0.631448153295,-0.0125203427223,0.0151834847043,0.617965881629,0.00629061033567,-0.00728057399654,2.67440088258,0.0948369102821,-0.0782239326476,8.28340670503,3.88076413127,-4.86360918698,3.27601256884,0.189772558049,-0.203115837248
306,CK04469,0.737069145519,0.0353834451905,-0.0332452365552,0.0648055802013,0.000520526840996,-0.000304487021585,0.775719246203,-0.0283738949044,0.0269179624861,0.740790218171,0.00656242955971,-0.00629354261036,1.90227409545,0.089233271409,-0.0901665257224,5.90229891043,5.10258620776,-3.88163427625,2.4860221971,0.139230789128,-0.208277956092
307,CK04493,0.942225950871,0.0497409660441,-0.0466922403402,0.164822147245,0.00110419106863,-0.00106996479188,0.826902920682,-0.0128131818223,0.0142088208101,0.867665374719,0.0122380359054,-0.0108941560426,1.25855941711,0.0448611385392,-0.0394354839901,13.007765146,0.64719973931,-1.2277972891,2.03644107854,0.105160440293,-0.132072597755
308,CK04508,1.115508515,0.1283501463,-0.108788608709,0.217368318015,0.00623448995403,-0.00768222769752,0.794153388614,-0.0238616829333,0.0255238759758,0.784004298471,0.0251429596501,-0.0231047710527,1.63162117005,0.138565349767,-0.122859324644,11.0834089604,2.06901788037,-4.11298176389,1.98030461149,0.114240295077,-0.111041836573
309,CK04509,0.68191994377,0.0279914935873,-0.0265672189217,0.0820975117494,0.00101228921044,-0.000959601775361,0.662131912496,-0.0137912931215,0.0155738880097,0.648685793126,0.00780441948289,-0.00810369105242,2.42026403012,0.0909410716331,-0.0798365823078,9.29040481176,3.22468689389,-4.75367177195,2.35089464567,0.140701579335,-0.140625305993
310,CK04517,0.586208198557,0.0239268626721,-0.0227109472767,0.0431930337505,5.22037671809e-05,-5.17122046886e-05,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2.15539252776,0.226802109753,-0.575414935874
311,CK04521,0.655570986099,0.0265636676624,-0.0252632705731,0.0848615491697,0.000240239836197,-0.000234486656045,0.65756587952,-0.0155003001546,0.0158974286328,0.63772658815,0.00778640368293,-0.00733027619641,2.52770601842,0.08965178824,-0.0819457148195,7.44818092483,4.40768997011,-4.71992040188,2.45779834758,0.153472451584,-0.148137189696
