,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
77,K00176,6153.0,60,4.7,1,-0.38,0.12,0.12,-99,0,12.222000000000001,0.024,291.6467764472974,41.884684343306226,kmag,allsky,smemp
78,K00179,6045.0,60,4.7,1,0.25,0.12,0.12,-99,0,12.502,0.023,297.0454037363428,46.328665308092795,kmag,allsky,smemp
79,K00180,5451.0,60,4.7,1,-0.05,0.12,0.12,-99,0,11.482,0.017,284.3942844348015,46.24911091015931,kmag,allsky,smemp
80,K00182,,60,4.7,1,,0.12,0.12,-99,0,12.49,0.022,295.6713312375589,40.59911299168915,kmag,allsky,smemp
81,K00186,5616.0,60,4.7,1,0.16,0.12,0.12,-99,0,13.433,0.041,294.9963415366758,50.470045834417135,kmag,allsky,smemp
82,K00189,4748.0,60,4.7,1,0.13,0.12,0.12,-99,0,12.288,0.025,284.87997909988576,49.267019525019776,kmag,allsky,smemp
83,K00191,5426.0,60,4.7,1,0.11,0.12,0.12,-99,0,13.25,0.037,295.28723175634036,41.22200333457403,kmag,allsky,smemp
84,K00193,5763.0,60,4.7,1,0.17,0.12,0.12,-99,0,13.483,0.05,292.8761318186118,48.19535457532941,kmag,allsky,smemp
85,K00195,5474.0,60,4.7,1,-0.33,0.12,0.12,-99,0,13.212,0.033,289.43466684072723,49.47345496598282,kmag,allsky,smemp
86,K00197,4892.0,60,4.7,1,0.07,0.12,0.12,-99,0,11.959000000000001,0.02,290.8332411884934,38.18418510331824,kmag,allsky,smemp
87,K00201,5370.0,60,4.7,1,0.38,0.12,0.12,-99,0,12.354,0.019,287.1305781668136,42.350153345874034,kmag,allsky,smemp
88,K00203,5463.0,60,4.7,1,0.24,0.12,0.12,-99,0,12.585,0.023,298.39524366065075,47.81498646746171,kmag,allsky,smemp
89,K00209,5991.0,60,4.7,1,-0.02,0.12,0.12,-99,0,13.011,0.031,288.79306505957317,48.04017600216736,kmag,allsky,smemp
90,K00211,5968.0,60,4.7,1,0.01,0.12,0.12,-99,0,13.585999999999999,0.04,287.97028644799354,47.97209211979256,kmag,allsky,smemp
91,K00214,5337.0,60,4.7,1,0.4,0.12,0.12,-99,0,12.47,0.022,298.6249797269156,48.577449966587295,kmag,allsky,smemp
92,K00222,4416.0,60,4.7,1,0.09,0.12,0.12,-99,0,12.307,0.024,287.89157069849836,39.33909794353085,kmag,allsky,smemp
