id_obs,id_name,obs_bjd,obs_counts,obs_exposure_time,obs_logline,obs_decker,smemp_teff,smemp_teff_err,smemp_radius,smemp_fe,smemp_fe_err,smsyn_teff,smsyn_teff_err,smsyn_logg,smsyn_logg_err,smsyn_fe,smsyn_fe_err,smsyn_vsini
j155.471,CK02538,2456140.77826987,10012.0,616.00439453,471    CK02538        n   6:35:24   615  ( 6:35:26) C2  10k    ,C2,4960.0,110.0,0.716,-0.29,0.09,4966.46113303,100.0,4.61177330206,0.1,-0.226289039344,0.06,6.55030083184
j155.472,CK01783,2456140.78517575,10024.0,498.52362061,472    CK01783        n   6:46:22   498  ( 6:46:24) C2  10k    ,C2,5845.0,110.0,1.118,0.09,0.09,5936.1895892,100.0,4.28229132305,0.1,0.116725709416,0.06,3.0889694201
j155.473,CK02443,2456140.79195164,10020.0,510.64077759,473    CK02443        n   6:56:01   510  ( 6:55:55) C2  10k    ,C2,5862.0,110.0,1.015,-0.45,0.09,5783.95628309,100.0,4.28609062303,0.1,-0.345256691951,0.06,1.2807249916
j155.474,CK02105,2456140.79848764,10016.0,448.83441162,474    CK02105        n   7:05:05   448  ( 7:05:07) C2  10k    ,C2,5869.0,110.0,1.013,-0.08,0.09,5925.9960472,100.0,4.41289341607,0.1,-0.0506725009851,0.06,2.63390467942
j155.475,CK01152,2456140.80448998,1004.0,83.88800049,475    CK01152        n   7:14:00    83  ( 7:14:01) C2   1k    ,C2,4565.0,110.0,0.665,-0.43,0.09,4651.44462125,100.0,4.5967037835,0.1,-0.0374475119175,0.06,58.5863637229
j156.87,K00321,2456143.99831328,141420.0,3600.15429688,87     K00321         n  11:52:57  3600  (11:53:12) B3 141k TEMPLATE   ,B3,5576.0,110.0,1.128,0.29,0.09,5659.2249259,100.0,4.26000792378,0.1,0.284295009468,0.06,0.255551028749
j156.98,CK01825,2456144.12178152,9272.0,765.23883057,98     CK01825        n  14:50:05   765  (14:50:08) C2   9k    ,C2,5314.0,110.0,0.836,0.09,0.09,5371.42833421,100.0,4.68687721471,0.1,0.138473895372,0.06,4.52459240589
j156.270,CK01152,2456144.76431349,2016.0,215.20921326,270    CK01152        n   6:16:07   215  ( 6:16:09) C2   2k  ,C2,4340.0,70.0,0.664,-0.17,0.09,4542.2254423,100.0,4.76716523796,0.1,-0.236767765535,0.06,10.0905599104
j156.277,CK01897,2456144.80790222,10016.0,560.30957031,277    CK01897        n   7:18:26   560  ( 7:18:32) C2  10k    ,C2,5824.0,110.0,1.13,-0.15,0.09,5898.05145239,100.0,4.31315708311,0.1,-0.106542264744,0.06,2.1656743542
j156.278,CK01861,2456144.81669038,10012.0,555.51519775,278    CK01861        n   7:30:40   555  ( 7:30:42) C2  10k   ,C2,5904.0,110.0,1.138,-0.02,0.09,6042.83351054,100.0,4.59032444678,0.1,0.032539055073,0.06,7.67747910589
j156.283,CK01557,2456144.86931584,3008.0,436.59320068,283    CK01557        n   8:46:34   436  ( 8:46:40) C2   3k    ,C2,4678.0,110.0,0.734,0.05,0.09,4793.25852619,100.0,4.69416530892,0.1,0.0210317292899,0.06,3.51106877626
j156.284,CK01589,2456144.87533967,3004.0,357.70077515,284    CK01589        n   8:55:06   357  ( 8:55:08) C2   3k ,C2,5886.0,110.0,1.034,-0.2,0.09,6029.59159741,100.0,4.6164721239,0.1,-0.118864292089,0.06,4.48220694729
j156.287,CK01152,2456144.90625907,1020.0,99.25640106,"287    CK01152        n   9:40:31    99  ( 9:40:29) C2   1k refocused but focus is the same; seeing 0""8",C2,4339.0,70.0,0.655,-0.34,0.09,4601.71017664,100.0,4.75165556469,0.1,-0.239542770827,0.06,23.3185529892
j156.299,CK01152,2456145.06805359,1004.0,98.01319885,"299    CK01152        n  13:33:30    97  (13:33:30) C2   1k focus, 0.75"",clear",C2,4330.0,70.0,0.647,-0.36,0.09,4583.52612617,100.0,4.66931228359,0.1,-0.138763594302,0.06,28.2694010543
j156.300,CK01977,2456145.07770988,10004.0,816.59521484,300    CK01977        n  13:47:17   816  (13:47:18) C2  10k    ,C2,4379.0,70.0,0.692,0.05,0.09,4559.5712254,100.0,4.5718822212,0.1,0.0113725312407,0.06,7.50696609185
j156.301,CK02279,2456145.08766114,10028.0,511.38961792,301    CK02279        n  14:00:44   511  (14:00:42) C2  10k    ,C2,5924.0,110.0,1.166,0.07,0.09,5950.44046299,100.0,4.24563809073,0.1,0.0528758435791,0.06,2.6049157704
j156.302,CK02040,2456145.09524276,10008.0,772.84197998,302    CK02040        n  14:12:43   772  (14:12:52) C2  10k    ,C2,5655.0,110.0,0.998,0.0,0.09,5667.58924106,100.0,4.39481797915,0.1,0.0204521702454,0.06,1.31337480516
j156.303,CK01915,2456145.10491835,10008.0,693.78521729,303    CK01915        n  14:26:22   693  (14:26:15) C2  10k    ,C2,5748.0,110.0,1.845,0.27,0.09,5956.13269926,100.0,3.99588136827,0.1,0.32542053416,0.06,6.54543531029
j156.304,CK02547,2456145.11547551,10008.0,834.20281982,"304    CK02547        n  14:40:51   834  (14:41:07) C2  10k airmass=3, clear, 0.8""   ",C2,5875.0,110.0,1.114,-0.17,0.09,5975.6798018,100.0,4.40472921947,0.1,-0.114332039548,0.06,2.12565884224
j156.305,CK00238,2456145.12620749,9344.0,689.60357666,305    CK00238        n  14:56:40   689  (14:56:31) C2   9k    ,C2,6056.0,110.0,1.412,-0.21,0.09,6131.26466307,100.0,4.27353066828,0.1,-0.09791308902,0.06,5.8784390896
j156.524,K02931,2456146.01135487,3016.0,429.93438721,524    K02931         n  12:12:00   429  (12:11:59) C2   3k HZ,C2,4914.0,110.0,0.738,-0.17,0.09,4954.57755218,100.0,4.65181826649,0.1,-0.121081103932,0.06,2.04941193554
j156.525,K01871,2456146.0178707,3004.0,527.16278076,525    K01871         n  12:21:37   527  (12:21:31) C2   3k    ,C2,4444.0,70.0,0.735,0.19,0.09,4593.10411349,100.0,4.145217863,0.1,0.188889046825,0.06,3.3331124983
j156.526,CK02038,2456146.02463131,3008.0,441.50921631,526    CK02038        n  12:30:56   441  (12:30:55) C2   3k    ,C2,5411.0,110.0,0.917,0.07,0.09,5511.32959497,100.0,4.57203394796,0.1,0.121167515247,0.06,2.11084385399
j156.527,CK01152,2456146.02903985,1008.0,104.89399719,527    CK01152        n  12:37:19   104  (12:37:17) C2   1k    ,C2,4367.0,70.0,0.658,-0.3,0.09,4599.46247043,100.0,4.11618238337,0.1,-0.181582362049,0.06,65.4472222675
j156.530,CK00889,2456146.07452232,6004.0,1253.41723633,530    CK00889        n  13:41:46  1253  (13:41:39) C2   6k waning gibbous up nearly all night,C2,5209.0,110.0,0.891,0.24,0.09,5340.37444635,100.0,4.49648840792,0.1,0.261476522111,0.06,3.15923834872
j156.531,CK01227,2456146.08884484,10004.0,877.72924805,531    CK01227        n  14:02:45   877  (14:02:47) C2  10k airmass=2.5  ,C2,6387.0,110.0,1.795,-0.36,0.09,5747.43834726,100.0,3.968727687,0.1,-0.571838265731,0.06,13.7588249273
j156.532,CK01988,2456146.10121937,10016.0,1114.43847656,532    CK01988        n  14:20:57  1114  (14:20:41) C2  10k airmass=3.2   ,C2,4559.0,110.0,0.733,0.16,0.09,4685.88567974,100.0,4.48307806103,0.1,0.122833395068,0.06,3.0865152889
j156.533,CK02556,2456146.11403931,9364.0,933.08197021,533    CK02556        n  14:38:57   932  (14:39:12) C2   9k    ,C2,5413.0,110.0,0.949,-0.34,0.09,5526.33369566,100.0,4.55617994651,0.1,-0.138120442007,0.06,1.31505281943
j156.668,CK01152,2456147.06204061,1008.0,183.1776123,668    CK01152        n  13:24:50   183  (13:24:50) C2   1k    ,C2,4368.0,70.0,0.663,-0.28,0.09,4648.48779671,100.0,4.48478685066,0.1,-0.0188820437929,0.06,35.4705732375
j156.670,CK01706,2456147.08777512,9468.0,1180.22631836,670    CK01706        n  14:01:23  1180  (14:01:24) C2   9k    ,C2,5134.0,110.0,0.827,0.09,0.09,5105.52956745,100.0,4.19372612784,0.1,0.0166712237614,0.06,2.38938888129
j156.671,CK01647,2456147.10124372,10008.0,1131.98120117,671    CK01647        n  14:21:25  1131  (14:21:52) C2  10k  airmass=2.6; Two midpts differ by -27 s,C2,5555.0,110.0,1.86,0.22,0.09,5697.21337036,100.0,4.12104403192,0.1,0.260663691734,0.06,3.67046109454
j156.781,CK01152,2456147.80163724,1008.0,117.51159668,781    CK01152        n   7:09:51   117  ( 7:09:51) C2   1k    ,C2,4378.0,70.0,0.664,-0.29,0.09,4625.32922762,100.0,4.44343028419,0.1,0.0314300069288,0.06,34.0533218029
j156.790,CK00834,2456147.98568144,3016.0,567.02520752,790    CK00834        n  11:34:29   566  (11:34:22) C2   3k    ,C2,5675.0,110.0,1.651,0.36,0.09,5763.74347327,100.0,4.05283110829,0.1,0.327345229307,0.06,2.98145554786
j156.791,K00438,2456147.99149364,3004.0,387.98721313,791    K00438         n  11:44:02   387  (11:43:55) C2   3k    ,C2,4392.0,70.0,0.699,0.04,0.09,4583.26163265,100.0,4.60140833934,0.1,-0.0490487372181,0.06,3.14270517977
j156.792,CK00211,2456148.00114453,6004.0,1096.76757812,792    CK00211        n  11:57:35  1096  (11:57:37) C2   6k    ,C2,5965.0,110.0,1.163,0.01,0.09,5790.2163711,100.0,3.91799691195,0.1,-0.0836103519334,0.06,3.63947471154
j156.793,CK02049,2456148.01301856,10016.0,714.68914795,"793    CK02049        n  12:14:18   714  (12:14:10) C2  10k 1.4"" variable",C2,6009.0,110.0,1.148,0.1,0.09,5971.89298873,100.0,4.15258506257,0.1,0.0704959341699,0.06,4.13870422309
j156.794,CK02498,2456148.02920751,10008.0,961.16278076,794    CK02498        n  12:37:02   961  (12:36:58) C2  10k    ,C2,5113.0,110.0,0.783,-0.14,0.09,5146.44400849,100.0,4.50561978573,0.1,-0.0834010997166,0.06,1.80430255826
j156.795,CK01856,2456148.04124952,10012.0,1044.7043457,795    CK01856        n  12:55:09  1044  (12:55:06) C2  10k    ,C2,5248.0,110.0,0.795,-0.03,0.09,5242.43703269,100.0,4.60541778003,0.1,0.0202617898935,0.06,1.8453196553
j156.796,CK01850,2456148.05500401,10004.0,1005.96960449,796    CK01850        n  13:14:30  1005  (13:14:34) C2  10k    ,C2,5829.0,110.0,1.337,0.03,0.09,5849.15895054,100.0,4.17176566593,0.1,0.0151181266015,0.06,2.91880328668
j156.797,CK02016,2456148.06853429,10012.0,1204.03796387,797    CK02016        n  13:34:06  1203  (13:33:59) C2  10k    ,C2,5767.0,110.0,1.296,0.34,0.09,5885.61979242,100.0,4.11937160121,0.1,0.343476775017,0.06,3.96398337903
j156.798,CK02082,2456148.08251047,10008.0,1111.67724609,798    CK02082        n  13:54:14  1111  (13:54:35) C2  10k   Two midpts differ by -21 s,C2,5728.0,110.0,1.902,0.26,0.09,6004.09120036,100.0,4.16078841303,0.1,0.333890615935,0.06,3.94554900969
j156.1018,CK02204,2456149.0116054,10008.0,1615.87915039,1018   CK02204        n  12:12:05  1615  (12:11:38) C2  10k    Two midpts differ by 26 s,C2,6164.0,110.0,1.731,-0.36,0.09,6283.51890596,100.0,4.24938058823,0.1,-0.166141106005,0.06,10.2235039747
j156.1367,CK02672,2456151.08519982,10088.0,117.70120239,1367   CK02672        n  13:58:24   117  (13:58:23) C2  10k AM=2.6,C2,5418.0,110.0,0.995,0.09,0.09,5656.75000447,100.0,4.57024213049,0.1,0.184968316347,0.06,3.55141153848
