obs,id_obs,id_name,id_koi
rj130.2297,rj130.2297,CK00219,219
rj130.2510,rj130.2510,CK00561,561
rj130.2511,rj130.2511,CK00401,401
rj130.2512,rj130.2512,CK00442,442
rj130.2522,rj130.2522,CK00247,247
rj131.340,rj131.340,CK00214,214
rj131.488,rj131.488,CK01964,1964
rj131.489,rj131.489,CK01962,1962
rj131.490,rj131.490,CK01613,1613
rj131.491,rj131.491,CK01615,1615
rj131.492,rj131.492,CK01616,1616
rj131.493,rj131.493,CK01618,1618
rj131.494,rj131.494,CK01890,1890
rj131.495,rj131.495,CK01619,1619
rj131.496,rj131.496,CK01621,1621
rj131.497,rj131.497,CK01883,1883
rj131.498,rj131.498,CK02149,2149
rj131.499,rj131.499,CK01930,1930
rj131.500,rj131.500,CK01781,1781
rj131.501,rj131.501,CK02169,2169
rj131.503,rj131.503,CK01822,1822
rj131.504,rj131.504,CK01808,1808
rj131.505,rj131.505,CK02287,2287
rj131.506,rj131.506,CK02133,2133
rj131.507,rj131.507,CK01692,1692
rj131.508,rj131.508,CK02311,2311
rj131.509,rj131.509,CK02208,2208
rj131.510,rj131.510,CK01809,1809
rj131.512,rj131.512,CK02029,2029
rj131.513,rj131.513,CK01797,1797
rj131.514,rj131.514,CK02312,2312
rj131.515,rj131.515,CK01628,1628
rj131.692,rj131.692,K00087,87
rj131.696,rj131.696,K00273,273
rj131.700,rj131.700,CK00372,372
rj131.714,rj131.714,CK00439,439
rj131.914,rj131.914,CK00152,152
rj131.1101,rj131.1101,CK00119,119
rj131.1102,rj131.1102,CK01208,1208
rj131.1103,rj131.1103,CK00652,652
rj133.587,rj133.587,CK00961,961
rj133.593,rj133.593,CK00201,201
rj133.594,rj133.594,CK00517,517
rj133.595,rj133.595,CK00197,197
rj134.195,rj134.195,CK01909,1909
rj134.196,rj134.196,CK01961,1961
rj134.197,rj134.197,CK01929,1929
rj134.198,rj134.198,CK01824,1824
rj134.199,rj134.199,CK01715,1715
rj134.200,rj134.200,CK01796,1796
rj134.201,rj134.201,CK02273,2273
rj134.202,rj134.202,CK02173,2173
rj134.203,rj134.203,CK00548,548
rj134.204,rj134.204,CK00490,490
rj134.205,rj134.205,CK00403,403
rj134.206,rj134.206,CK01426,1426
rj134.207,rj134.207,CK01438,1438
rj134.208,rj134.208,CK00550,550
rj134.209,rj134.209,CK01528,1528
rj134.418,rj134.418,CK00479,479
rj134.419,rj134.419,CK00415,415
rj134.420,rj134.420,CK00444,444
rj134.421,rj134.421,CK00486,486
rj134.422,rj134.422,CK00986,986
rj134.423,rj134.423,CK00572,572
rj137.68,rj137.68,CK00237,237
rj137.69,rj137.69,CK00465,465
rj137.203,rj137.203,CK00584,584
rj137.204,rj137.204,CK00579,579
rj137.205,rj137.205,CK00241,241
rj137.206,rj137.206,CK00568,568
rj138.326,rj138.326,K00244,244
rj140.66,rj140.66,CK01102,1102
rj140.67,rj140.67,CK00134,134
rj147.132,rj147.132,CK01474,1474
rj147.133,rj147.133,CK00952,952
rj148.163,rj148.163,CK01925,1925
rj149.191,rj149.191,K00730,730
