,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
84,K00203,5704.72657283,100,4.7,1,0.3248726357,0.12,0.00141185991282,1.97566208304e-05,12.585,0.023,298.395243661,47.8149864675,kmag,green18,smsyn
85,K00209,6059.00020794,100,4.7,1,0.0125466492043,0.12,0.000711131031377,1.79810003208e-05,13.011,0.031,288.79306506,48.0401760022,kmag,green18,smsyn
86,K00211,5794.41341677,100,4.7,1,-0.080615270509,0.12,0.000600453367722,2.00343687725e-05,13.586,0.04,287.970286448,47.9720921198,kmag,green18,smsyn
87,K00214,5465.92261948,100,4.7,1,0.423471972999,0.12,0.0014557731268,2.02974945053e-05,12.47,0.022,298.624979727,48.5774499666,kmag,green18,smsyn
88,K00222,4626.19616668,100,4.7,1,0.0529066974923,0.12,0.00259741496191,2.11167447604e-05,12.307,0.024,287.891570698,39.3390979435,kmag,green18,smsyn
89,K00232,6008.24776872,100,4.7,1,-0.0522827306598,0.12,0.000997663598275,1.78357129214e-05,12.826,0.028,291.111864737,39.9490247898,kmag,green18,smsyn
90,K00237,5762.10325236,100,4.7,1,0.256191258631,0.12,0.00126282863374,1.84481902049e-05,12.588,0.022,295.951347206,43.8519883997,kmag,green18,smsyn
91,K00238,6132.43931454,100,4.7,1,-0.0976411725844,0.12,0.00100344818246,2.09696331277e-05,12.655,0.025,296.998585314,42.7819633017,kmag,green18,smsyn
92,K00241,4935.48831974,100,4.7,1,-0.441324739008,0.12,0.00240487202272,1.70167036142e-05,12.233,0.026,286.752732187,49.0648788,kmag,green18,smsyn
93,K00244,6257.06723706,100,4.7,1,-0.0399269727596,0.12,0.00413524192068,2.35790903189e-05,9.493,0.017,286.638390514,39.4879037745,kmag,green18,smsyn
94,K00245,5371.39527557,100,4.7,1,-0.260661889989,0.12,0.0156684758825,2.89902676051e-05,7.942,0.013,284.059250288,44.5183733309,kmag,green18,smsyn
95,K00246,5811.10687571,100,4.7,1,0.15482587768,0.12,0.00696057824958,2.07854945416e-05,8.588,0.022,291.032310211,49.0402129271,kmag,green18,smsyn
96,K00247,4401.6218887,100,4.7,1,-0.53723824643,0.12,0.00642354561759,1.9228268577e-05,11.124,0.022,284.998698024,50.146692152,kmag,green18,smsyn
97,K00248,4459.41768773,100,4.7,1,-0.257332317513,0.12,0.00323750017522,2.57185809121e-05,12.383,0.023,292.294520809,40.5918122624,kmag,green18,smsyn
98,K00249,,100,4.7,1,,0.12,0.0101181682257,3.06334654418e-05,11.155,0.027,284.921960776,45.9723265172,kmag,green18,smsyn
99,K00250,4456.6766231,100,4.7,1,-0.337776646706,0.12,0.00300673202173,2.69815948248e-05,12.63,0.025,284.94106268,46.5664504552,kmag,green18,smsyn
