,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
76,K00180,5640.08570029,100,4.7,1,0.0620444963318,0.06,0.12,-99,0,11.482,0.017,284.394284435,46.2491109102,kmag,allsky,smsyn
77,K00186,5801.74532312,100,4.7,1,0.194276951708,0.06,0.12,-99,0,13.433,0.041,294.996341537,50.4700458344,kmag,allsky,smsyn
78,K00189,4862.51668178,100,4.7,1,0.149291576811,0.06,0.12,-99,0,12.288,0.025,284.8799791,49.267019525,kmag,allsky,smsyn
79,K00191,5469.0696064,100,4.7,1,0.132941810569,0.06,0.12,-99,0,13.25,0.037,295.287231756,41.2220033346,kmag,allsky,smsyn
80,K00193,5677.31841762,100,4.7,1,0.106757162445,0.06,0.12,-99,0,13.483,0.05,292.876131819,48.1953545753,kmag,allsky,smsyn
81,K00195,5533.98839521,100,4.7,1,-0.169124102721,0.06,0.12,-99,0,13.212,0.033,289.434666841,49.473454966,kmag,allsky,smsyn
82,K00197,4936.31814516,100,4.7,1,0.0586979983117,0.06,0.12,-99,0,11.959,0.02,290.833241188,38.1841851033,kmag,allsky,smsyn
83,K00201,5550.91240633,100,4.7,1,0.388916337712,0.06,0.12,-99,0,12.354,0.019,287.130578167,42.3501533459,kmag,allsky,smsyn
84,K00203,5704.72657283,100,4.7,1,0.3248726357,0.06,0.12,-99,0,12.585,0.023,298.395243661,47.8149864675,kmag,allsky,smsyn
85,K00209,6059.00020794,100,4.7,1,0.0125466492043,0.06,0.12,-99,0,13.011,0.031,288.79306506,48.0401760022,kmag,allsky,smsyn
86,K00211,5794.41341677,100,4.7,1,-0.080615270509,0.06,0.12,-99,0,13.586,0.04,287.970286448,47.9720921198,kmag,allsky,smsyn
87,K00214,5465.92261948,100,4.7,1,0.423471972999,0.06,0.12,-99,0,12.47,0.022,298.624979727,48.5774499666,kmag,allsky,smsyn
88,K00222,4626.19616668,100,4.7,1,0.0529066974923,0.06,0.12,-99,0,12.307,0.024,287.891570698,39.3390979435,kmag,allsky,smsyn
89,K00232,6008.24776872,100,4.7,1,-0.0522827306598,0.06,0.12,-99,0,12.826,0.028,291.111864737,39.9490247898,kmag,allsky,smsyn
90,K00237,5762.10325236,100,4.7,1,0.256191258631,0.06,0.12,-99,0,12.588,0.022,295.951347206,43.8519883997,kmag,allsky,smsyn
91,K00238,6132.43931454,100,4.7,1,-0.0976411725844,0.06,0.12,-99,0,12.655,0.025,296.998585314,42.7819633017,kmag,allsky,smsyn
92,K00241,4935.48831974,100,4.7,1,-0.441324739008,0.06,0.12,-99,0,12.233,0.026,286.752732187,49.0648788,kmag,allsky,smsyn
93,K00244,6257.06723706,100,4.7,1,-0.0399269727596,0.06,0.12,-99,0,9.493,0.017,286.638390514,39.4879037745,kmag,allsky,smsyn
94,K00245,5371.39527557,100,4.7,1,-0.260661889989,0.06,0.12,-99,0,7.942,0.013,284.059250288,44.5183733309,kmag,allsky,smsyn
95,K00246,5811.10687571,100,4.7,1,0.15482587768,0.06,0.12,-99,0,8.588,0.022,291.032310211,49.0402129271,kmag,allsky,smsyn
96,K00247,4401.6218887,100,4.7,1,-0.53723824643,0.06,0.12,-99,0,11.124,0.022,284.998698024,50.146692152,kmag,allsky,smsyn
97,K00248,4459.41768773,100,4.7,1,-0.257332317513,0.06,0.12,-99,0,12.383,0.023,292.294520809,40.5918122624,kmag,allsky,smsyn
98,K00249,,100,4.7,1,,,0.12,-99,0,11.155,0.027,284.921960776,45.9723265172,kmag,allsky,smsyn
99,K00250,4456.6766231,100,4.7,1,-0.337776646706,0.06,0.12,-99,0,12.63,0.025,284.94106268,46.5664504552,kmag,allsky,smsyn
100,K00251,4501.59167045,100,4.7,1,-0.576419944959,0.06,0.12,-99,0,11.682,0.019,298.258110105,47.6050030509,kmag,allsky,smsyn
101,K00252,4496.21511793,100,4.7,1,-0.372885194357,0.06,0.12,-99,0,12.552,0.03,290.40151561,48.8227233681,kmag,allsky,smsyn
102,K00254,4523.69849874,100,4.7,1,-0.310672741674,0.06,0.12,-99,0,12.892,0.029,292.872929227,41.0641727322,kmag,allsky,smsyn
103,K00256,4908.81186821,100,4.7,1,-0.690809011926,0.06,0.12,-99,0,11.783,0.023,285.185058616,49.5652850475,kmag,allsky,smsyn
104,K00257,6190.9728893,100,4.7,1,0.108454937653,0.06,0.12,-99,0,9.617,0.017,284.635188529,40.719829595,kmag,allsky,smsyn
105,K00258,5758.05349073,100,4.7,1,-0.323339197656,0.06,0.12,-99,0,8.682,0.021,284.541809509,48.9612443657,kmag,allsky,smsyn
106,K00260,6281.43343144,100,4.7,1,-0.153960228222,0.06,0.12,-99,0,9.344,0.011,289.347363399,44.2084444714,kmag,allsky,smsyn
107,K00261,5781.7206375,100,4.7,1,0.115238787711,0.06,0.12,-99,0,8.868,0.02,297.069826342,40.5252038781,kmag,allsky,smsyn
108,K00262,6139.43815046,100,4.7,1,-0.10253067292,0.06,0.12,-99,0,9.197,0.019,288.100931218,50.0336844073,kmag,allsky,smsyn
109,K00265,6012.40345179,100,4.7,1,0.143555788484,0.06,0.12,-99,0,10.665,0.017,297.01880743,50.4090459938,kmag,allsky,smsyn
110,K00266,6165.61575527,100,4.7,1,-0.057907195641,0.06,0.12,-99,0,10.379,0.012,295.404254576,42.9812789114,kmag,allsky,smsyn
111,K00268,6474.65865444,100,4.7,1,0.0221233913036,0.06,0.12,-99,0,9.604,0.02,285.728907397,38.50690026,kmag,allsky,smsyn
112,K00269,6298.80839706,100,4.7,1,-0.0764297315544,0.06,0.12,-99,0,9.754,0.011,287.345673699,43.3783893659,kmag,allsky,smsyn
113,K00271,6156.48824561,100,4.7,1,0.272729668993,0.06,0.12,-99,0,10.234,0.019,285.189943852,46.0280595579,kmag,allsky,smsyn
114,K00273,5673.65265413,100,4.7,1,0.281861099288,0.06,0.12,-99,0,9.968,0.018,287.47864743,38.2290751403,kmag,allsky,smsyn
115,K00274,6067.54509628,100,4.7,1,-0.0414929954957,0.06,0.12,-99,0,10.109,0.011,282.492262187,43.9802442231,kmag,allsky,smsyn
116,K00275,5825.0903597,100,4.7,1,0.263036904874,0.06,0.12,-99,0,10.252,0.019,285.311184467,47.8484774747,kmag,allsky,smsyn
117,K00276,5990.64336653,100,4.7,1,-0.00771199732523,0.06,0.12,-99,0,10.483,0.025,289.664394016,48.7061649663,kmag,allsky,smsyn
118,K00277,5948.22217438,100,4.7,1,-0.206757154272,0.06,0.12,-99,0,10.788,0.022,291.250185918,49.231807268,kmag,allsky,smsyn
119,K00279,6286.28468622,100,4.7,1,0.173715989119,0.06,0.12,-99,0,10.429,0.017,295.486582068,51.0135237175,kmag,allsky,smsyn
120,K00280,6076.61872039,100,4.7,1,-0.270160684931,0.06,0.12,-99,0,9.785,0.017,286.689598558,39.2120801664,kmag,allsky,smsyn
121,K00281,5665.88734946,100,4.7,1,-0.383073162932,0.06,0.12,-99,0,10.446,0.02,287.655019601,39.244171643,kmag,allsky,smsyn
122,K00282,5843.95927728,100,4.7,1,-0.209991803507,0.06,0.12,-99,0,10.49,0.02,288.450590523,40.2452005595,kmag,allsky,smsyn
123,K00283,5810.93279717,100,4.7,1,0.202614920652,0.06,0.12,-99,0,10.079,0.017,288.530892381,40.9423729539,kmag,allsky,smsyn
124,K00285,5940.56960183,100,4.7,1,0.183446314698,0.06,0.12,-99,0,10.403,0.018,289.086060661,41.5630224395,kmag,allsky,smsyn
125,K00288,6184.32381598,100,4.7,1,0.221199416615,0.06,0.12,-99,0,9.705,0.014,293.716465509,46.2266877651,kmag,allsky,smsyn
126,K00289,5829.07200317,100,4.7,1,-0.368880796649,0.06,0.12,-99,0,11.187,0.016,282.945538406,47.5749180917,kmag,allsky,smsyn
127,K00291,5671.75313653,100,4.7,1,0.275444175273,0.06,0.12,-99,0,11.32,0.016,297.277890558,48.3203541554,kmag,allsky,smsyn
128,K00292,5778.84197172,100,4.7,1,-0.164704604997,0.06,0.12,-99,0,11.345,0.026,287.326529163,48.6733442559,kmag,allsky,smsyn
129,K00294,6073.90707206,100,4.7,1,0.0483621214336,0.06,0.12,-99,0,11.315,0.022,298.268921685,48.9167390835,kmag,allsky,smsyn
130,K00295,5945.12920948,100,4.7,1,-0.180753281381,0.06,0.12,-99,0,10.951,0.019,284.739115573,49.5984447863,kmag,allsky,smsyn
131,K00296,5752.8129768,100,4.7,1,-0.125106910948,0.06,0.12,-99,0,11.469,0.023,285.041623482,50.0753912518,kmag,allsky,smsyn
132,K00297,6148.76559054,100,4.7,1,0.106493903648,0.06,0.12,-99,0,10.875,0.019,286.247173947,50.2423694195,kmag,allsky,smsyn
133,K00299,5557.57458981,100,4.7,1,0.198285078026,0.06,0.12,-99,0,11.253,0.017,285.661693348,37.9645672009,kmag,allsky,smsyn
134,K00301,5982.93488272,100,4.7,1,-0.0903136164823,0.06,0.12,-99,0,11.456,0.022,290.495093858,38.7954956479,kmag,allsky,smsyn
135,K00302,6740.42896976,100,4.7,1,0.155350487788,0.06,0.12,-99,0,10.987,0.014,295.608762542,38.7357367852,kmag,allsky,smsyn
